,Unnamed: 0,FIPS,State,County,Year,n_crops,area_km2,Month,corn_bu_production_t,corn_tons_production_t,cotton_production_t,oats_production_t,peanuts_production_t,rice_production_t,soybeans_production_t,wheat_production_t
74,118,US05111,ARKANSAS,POINSETT,2023,5,1976.6125236062207,7,169222.81390897298,,11626.493454654315,,,385145.7394018017,261949.905199082,13145.122515444838
75,119,US26059,MICHIGAN,HILLSDALE,2019,4,1567.8902679206726,7,171712.13179595576,,,452.8671607805427,,,67494.62492402318,15159.07503333908
76,120,US13163,GEORGIA,JEFFERSON,2019,4,1366.602072879094,4,55781.04163075723,,8273.534668106067,,11684.55334706208,,3973.473886656204,
77,122,US27147,MINNESOTA,STEELE,2019,4,1118.5062216795588,7,465858.0617067794,27215.574566138384,,149.50422294998685,,,93757.65438034672,
78,123,US28015,MISSISSIPPI,CARROLL,2022,4,1624.0427137141864,4,27992.1256270922,,4093.222414747213,,,,13662.218432201467,1415.209877439196
79,124,US22065,LOUISIANA,MADISON,2023,4,1661.826433405098,7,365599.5137484011,,6836.5523310139615,,,17853.41691538678,91852.56416071704,
80,125,US17005,ILLINOIS,BOND,2022,4,1000.9757964005034,8,349190.3366566574,,,,,,133002.51290471829,18207.21938474658
81,126,US37041,NORTH CAROLINA,CHOWAN,2021,5,457.4330665374321,7,22581.669403343887,,5878.56410628589,,10201.304533207536,,18588.23742867252,3891.827162957789
82,127,US36099,NEW YORK,SENECA,2021,4,1006.0511116692464,6,100360.1527700919,63503.00732098956,,798.3235206067259,,,38020.15766889532,
83,128,US36117,NEW YORK,WAYNE,2023,4,1651.0220983581678,7,92587.38467400278,19413.77652384538,,538.5055020819915,,,30263.71891754588,
84,129,US28119,MISSISSIPPI,QUITMAN,2024,4,1051.7949997743856,8,40489.51746786294,,18245.321189139173,,,51074.56160245303,122878.3191661148,
85,130,US26075,MICHIGAN,JACKSON,2019,4,1873.7990470739176,7,201939.5632807468,,,116.11978481552376,,,42810.09879253568,12818.53562065118
86,131,US27039,MINNESOTA,DODGE,2022,4,1139.6653428517457,7,661650.5338788544,48988.03421904909,,528.3450209106331,,,145712.1862271049,
87,132,US27087,MINNESOTA,MAHNOMEN,2023,4,1510.9495072937666,7,226832.7421505747,15240.721757037496,,,,,60663.51570792245,48089.920258366525
88,133,US05095,ARKANSAS,MONROE,2020,5,1617.3591142356115,10,88802.6054376718,,7228.456604766354,,,154493.7449537789,109243.31630847948,1687.3656231005798
89,134,US37065,NORTH CAROLINA,EDGECOMBE,2024,4,1314.2742424335902,6,11582.948535348496,,9275.06781213996,,15739.673957416697,,42891.74551623409,
90,135,US29155,MISSOURI,PEMISCOT,2020,5,1265.964341164388,4,96067.349475193,,11865.990510836336,,,152271.13969754425,234761.54620750967,18071.141511915885
91,136,US27103,MINNESOTA,NICOLLET,2020,4,1176.8709558102787,6,579503.0436084223,107955.11244568226,,,,,147807.78546869755,530.7037040396984
92,138,US05117,ARKANSAS,PRAIRIE,2023,4,1736.1930422711987,10,127971.26035325816,,,,,204525.04286453,154883.83485589354,2027.5603051773087
93,141,US13273,GEORGIA,TERRELL,2022,4,875.6048534356172,5,79302.55554245177,,13455.380065498815,,12777.71225880197,,3864.6115883916505,
94,142,US20099,KANSAS,LABETTE,2023,4,1682.6450382539954,8,91749.14497736572,,,2104.6710997813684,,,38646.1158839165,95227.2954069182
95,143,US36069,NEW YORK,ONTARIO,2021,4,1717.2783416885034,10,121824.16924458636,253104.84346508692,,1000.0816467236984,,,37639.13962496938,
96,145,US27019,MINNESOTA,CARVER,2023,5,936.78990524806,7,249973.23801834328,42093.42199562737,,194.5006395660023,,,68909.83480146238,688.5540365233011
97,146,US17023,ILLINOIS,CLARK,2024,4,1278.5723669480817,9,463876.7678783645,,,,,,167620.7237528463,9906.469142074371
98,147,US37085,NORTH CAROLINA,HARNETT,2023,5,1555.8934941288917,7,27941.323221235405,,1617.6937522112655,,1827.0722392067569,,18125.57266104816,10559.642931661692
99,148,US36099,NEW YORK,SENECA,2021,4,1006.0511116692464,9,100360.1527700919,63503.00732098956,,798.3235206067259,,,38020.15766889532,
100,150,US29155,MISSOURI,PEMISCOT,2020,5,1265.964341164388,6,96067.349475193,,11865.990510836336,,,152271.13969754425,234761.54620750967,18071.141511915885
101,152,US28119,MISSISSIPPI,QUITMAN,2021,5,1051.7949997743856,7,65154.08551133529,,9405.702570057423,,,15499.26971541581,93485.49863468534,5769.701808021337
102,155,US26155,MICHIGAN,SHIAWASSEE,2023,4,1400.343444842344,6,204708.29439994195,,,801.226515227114,,,100507.11687274904,46810.788253758015
103,157,US36121,NEW YORK,WYOMING,2020,4,1515.9040249607046,10,99623.51788516842,593299.5255418167,,953.633732797489,,,6286.797724777966,
104,158,US28027,MISSISSIPPI,COAHOMA,2020,4,1575.3961316122266,9,103890.91997713892,,39364.60705246256,,,28576.353294445304,144405.83864793024,
105,159,US13273,GEORGIA,TERRELL,2021,4,875.6048534356172,5,89539.24032259527,,8992.025836652121,,19622.42926218577,,2830.419754878392,
106,162,US05111,ARKANSAS,POINSETT,2024,4,1976.6125236062207,4,113568.77829285772,,17809.871996080958,,,394761.9090818373,274305.77605210873,
107,164,US13253,GEORGIA,SEMINOLE,2024,4,663.563331464837,7,50853.20826264844,,12083.715107365442,,43254.6198437826,,4408.923079714418,
108,165,US13243,GEORGIA,RANDOLPH,2024,4,1114.1608799696392,9,45798.36887989767,,3744.863060300641,,20062.414384338343,,11294.463444947429,
109,166,US17191,ILLINOIS,WAYNE,2024,4,1853.1160983516984,7,497634.96657020255,,,,,,230706.42559715503,45150.63820522358
110,168,US26155,MICHIGAN,SHIAWASSEE,2023,4,1400.343444842344,5,204708.29439994195,,,801.226515227114,,,100507.11687274904,46810.788253758015
111,171,US37079,NORTH CAROLINA,GREENE,2023,5,686.1747057306366,10,41429.36197621359,,1632.9344739683029,,11525.795828759605,,41204.37989313351,15376.799629868186
112,172,US37065,NORTH CAROLINA,EDGECOMBE,2019,4,1314.2742424335902,5,,,12192.577405629994,,11249.104154003864,,33311.86326895338,11621.050339741088
113,173,US28119,MISSISSIPPI,QUITMAN,2021,5,1051.7949997743856,10,65154.08551133529,,9405.702570057423,,,15499.26971541581,93485.49863468534,5769.701808021337
114,176,US20087,KANSAS,JEFFERSON,2020,4,1377.951610354802,4,189111.9558019069,,,107.41080095435947,,,63112.91741887491,1004.2547014905062
115,181,US26067,MICHIGAN,IONIA,2019,4,1501.6061665331426,7,213624.1166278089,,,268.5270023858987,,,68256.66101187507,25392.13107020711
116,183,US37041,NORTH CAROLINA,CHOWAN,2020,5,457.4330665374321,4,14732.697698469578,,3113.4617303662308,,10432.636917019712,,25909.22698696374,6286.797724777966
117,185,US36117,NEW YORK,WAYNE,2023,4,1651.0220983581678,4,92587.38467400278,19413.77652384538,,538.5055020819915,,,30263.71891754588,
118,187,US27105,MINNESOTA,NOBLES,2019,4,1870.1189579581664,5,632591.5577287696,,,313.52341900191414,,,183460.18815033883,530.7037040396984
119,188,US37085,NORTH CAROLINA,HARNETT,2023,5,1555.8934941288917,9,27941.323221235405,,1617.6937522112655,,1827.0722392067569,,18125.57266104816,10559.642931661692
120,189,US17023,ILLINOIS,CLARK,2024,4,1278.5723669480817,5,463876.7678783645,,,,,,167620.7237528463,9906.469142074371
121,190,US13243,GEORGIA,RANDOLPH,2024,4,1114.1608799696392,7,45798.36887989767,,3744.863060300641,,20062.414384338343,,11294.463444947429,
122,191,US27015,MINNESOTA,BROWN,2023,5,1615.0538523193186,9,754771.3438143535,62595.82150211829,,924.603786593608,,,186045.667734122,691.2755939799149
123,192,US28053,MISSISSIPPI,HUMPHREYS,2024,4,1104.9373793565687,5,125507.34366920376,,7446.181201295461,,,26399.107329154234,148297.66581088805,
124,193,US20099,KANSAS,LABETTE,2020,4,1682.6450382539954,6,65560.50475818962,,,66.76887626892616,,,81701.15484754743,12437.51757672524
125,195,US05095,ARKANSAS,MONROE,2019,4,1617.3591142356115,8,131832.24319837432,,8273.534668106067,,,107819.03457285155,93485.49863468534,
126,197,US26107,MICHIGAN,MECOSTA,2019,4,1480.0131204828544,4,67059.17573096497,,,631.4013299344105,,,5715.2706588890605,4300.060781449864
127,199,US13273,GEORGIA,TERRELL,2021,4,875.6048534356172,6,89539.24032259527,,8992.025836652121,,19622.42926218577,,2830.419754878392,
128,200,US13163,GEORGIA,JEFFERSON,2023,4,1366.602072879094,7,76203.60878518748,,5769.701808021337,,18665.34822327657,,4082.336184920757,
129,201,US37041,NORTH CAROLINA,CHOWAN,2020,5,457.4330665374321,6,14732.697698469578,,3113.4617303662308,,10432.636917019712,,25909.22698696374,6286.797724777966
130,202,US20103,KANSAS,LEAVENWORTH,2022,4,1207.6743709751306,4,65636.70836697481,,,105.95930364416544,,,38156.23554172601,2228.9555569667336
131,203,US37079,NORTH CAROLINA,GREENE,2019,4,686.1747057306366,9,31802.30606635157,,4681.078825375802,,,,30100.42547014905,5116.528018434015
132,204,US27051,MINNESOTA,GRANT,2019,4,1489.8666662739947,6,539800.9634313396,45359.29094356397,,,,,107964.18430387096,15512.877502698875
133,205,US36121,NEW YORK,WYOMING,2020,4,1515.9040249607046,7,99623.51788516842,593299.5255418167,,953.633732797489,,,6286.797724777966,
134,207,US29069,MISSOURI,DUNKLIN,2024,4,1441.725433121248,9,89285.22829331132,,73220.7818127387,,,100470.8294399942,114087.68858125208,
135,209,US17015,ILLINOIS,CARROLL,2019,4,1211.9061759243527,7,672750.8595585633,,,296.1054512795856,,,68175.01428817665,1178.4343787137918
136,210,US36121,NEW YORK,WYOMING,2021,4,1515.9040249607046,6,105135.57892063032,541589.9338661538,,1770.826718436737,,,6803.893641534595,
137,213,US36117,NEW YORK,WAYNE,2023,4,1651.0220983581678,8,92587.38467400278,19413.77652384538,,538.5055020819915,,,30263.71891754588,
138,214,US37051,NORTH CAROLINA,CUMBERLAND,2021,4,1708.586179346146,5,38533.62484237646,,1741.7967722328565,,,,15431.230779000463,4871.58784733877
139,216,US37191,NORTH CAROLINA,WAYNE,2024,4,1445.7253956389366,6,33148.56982155655,,2081.447142818264,,12655.242173254348,,52743.78350917618,
140,217,US37041,NORTH CAROLINA,CHOWAN,2021,5,457.4330665374321,8,22581.669403343887,,5878.56410628589,,10201.304533207536,,18588.23742867252,3891.827162957789
141,218,US27055,MINNESOTA,HOUSTON,2021,4,1480.653884648656,10,273393.14711832424,164200.6332157016,,1857.91655704838,,,48280.42928032949,
142,221,US13243,GEORGIA,RANDOLPH,2023,4,1114.1608799696392,8,50929.41187143363,,3962.587656829749,,14469.613810996909,,11212.816721249012,
143,224,US36099,NEW YORK,SENECA,2021,4,1006.0511116692464,4,100360.1527700919,63503.00732098956,,798.3235206067259,,,38020.15766889532,
144,225,US20087,KANSAS,JEFFERSON,2020,4,1377.951610354802,5,189111.9558019069,,,107.41080095435947,,,63112.91741887491,1004.2547014905062
145,226,US13243,GEORGIA,RANDOLPH,2023,4,1114.1608799696392,10,50929.41187143363,,3962.587656829749,,14469.613810996909,,11212.816721249012,
146,227,US27159,MINNESOTA,WADENA,2021,4,1407.7037680342423,5,43004.23655777413,68038.93641534596,,,,,10750.15195362466,525.2605891264708
147,229,US37079,NORTH CAROLINA,GREENE,2023,5,686.1747057306366,5,41429.36197621359,,1632.9344739683029,,11525.795828759605,,41204.37989313351,15376.799629868186
148,232,US13163,GEORGIA,JEFFERSON,2020,4,1366.602072879094,5,67109.97813682177,,5704.384429062605,,20438.896499169925,,5633.623935190645,
149,234,US36117,NEW YORK,WAYNE,2023,4,1651.0220983581678,9,92587.38467400278,19413.77652384538,,538.5055020819915,,,30263.71891754588,
150,235,US37117,NORTH CAROLINA,MARTIN,2023,5,1240.831913954528,9,21387.81286570928,,10908.002286108263,,17708.267184367374,,22752.22033729169,12573.595449555933
151,236,US19073,IOWA,GREENE,2019,4,1480.367054955473,10,887924.4495650044,12882.038627972168,,132.08625522765828,,,175050.57560940206,
152,237,US28015,MISSISSIPPI,CARROLL,2022,4,1624.0427137141864,6,27992.1256270922,,4093.222414747213,,,,13662.218432201467,1415.209877439196
153,239,US17009,ILLINOIS,BROWN,2024,4,783.820987597979,10,154642.52342807376,,,,,,67276.90032749408,1869.7099726937067
154,240,US22029,LOUISIANA,CONCORDIA,2022,4,1892.4825494055688,9,64950.87588790812,,5334.252614963123,,,10995.092124719908,149712.87568832724,
155,241,US27105,MINNESOTA,NOBLES,2019,4,1870.1189579581664,9,632591.5577287696,,,313.52341900191414,,,183460.18815033883,530.7037040396984
156,243,US29143,MISSOURI,NEW MADRID,2023,5,1788.1526713238711,10,313908.0657891156,,63793.30678302837,,,71395.5239451697,266494.906151627,16274.913590550752
157,244,US28015,MISSISSIPPI,CARROLL,2022,4,1624.0427137141864,8,27992.1256270922,,4093.222414747213,,,,13662.218432201467,1415.209877439196
158,246,US37049,NORTH CAROLINA,CRAVEN,2024,4,1899.7191581307093,4,24816.97526104272,,2503.8328600847312,,2381.3627745371086,,24221.86136386316,
